n_i,n_j,FC,action,p_i,p_j
0,0,0,0,0.0812782986396447,0.0812782986396447
0,0,0,1,0.20275927209458253,0.20275927209458253
0,0,0,2,0.24486070456490167,0.24486070456490167
0,0,0,3,0.10404577138153648,0.10404577138153648
0,0,0,4,0.209148751276895,0.209148751276895
0,0,0,5,0.1579072020424396,0.1579072020424396
0,0,1,0,0.06667916630951234,0.06667916630951234
0,0,1,1,0.07524541095288981,0.07524541095288981
0,0,1,2,0.23069367482484796,0.23069367482484796
0,0,1,3,0.305341460589345,0.305341460589345
0,0,1,4,0.2656790411979166,0.2656790411979166
0,0,1,5,0.05636124612548817,0.05636124612548817
0,0,2,0,0.1821277371849967,0.1821277371849967
0,0,2,1,0.1485739616868437,0.1485739616868437
0,0,2,2,0.2566751991784194,0.2566751991784194
0,0,2,3,0.011950252844526846,0.011950252844526846
0,0,2,4,0.1424427305419357,0.1424427305419357
0,0,2,5,0.25823011856327766,0.25823011856327766
0,0,3,0,0.08078785722237171,0.08078785722237171
0,0,3,1,0.18257740397139957,0.18257740397139957
0,0,3,2,0.30489615949270693,0.30489615949270693
0,0,3,3,0.03627475016783288,0.03627475016783288
0,0,3,4,0.2854251497667251,0.2854251497667251
0,0,3,5,0.11003867937896382,0.11003867937896382
0,0,4,0,0.28829524814517804,0.28829524814517804
0,0,4,1,0.06764852441876211,0.06764852441876211
0,0,4,2,0.17114055519097232,0.17114055519097232
0,0,4,3,0.030796833082653383,0.030796833082653383
0,0,4,4,0.3139882437260592,0.3139882437260592
0,0,4,5,0.12813059543637484,0.12813059543637484
0,0,5,0,0.2575206323019897,0.2575206323019897
0,0,5,1,0.06592750122857641,0.06592750122857641
0,0,5,2,0.2536022993446151,0.2536022993446151
0,0,5,3,0.2477430331856366,0.2477430331856366
0,0,5,4,0.09282214400623674,0.09282214400623674
0,0,5,5,0.08238438993294557,0.08238438993294557
0,0,6,0,0.10562359304169193,0.10562359304169193
0,0,6,1,0.14582805036968158,0.14582805036968158
0,0,6,2,0.14942028513623842,0.14942028513623842
0,0,6,3,0.19903945474762622,0.19903945474762622
0,0,6,4,0.20414354162507897,0.20414354162507897
0,0,6,5,0.19594507507968284,0.19594507507968284
0,0,7,0,0.20861548785128534,0.20861548785128534
0,0,7,1,0.23226163946657674,0.23226163946657674
0,0,7,2,0.22564316362640635,0.22564316362640635
0,0,7,3,0.18700876903725427,0.18700876903725427
0,0,7,4,0.03399703005983141,0.03399703005983141
0,0,7,5,0.11247390995864602,0.11247390995864602
0,0,8,0,0.09481264070491952,0.09481264070491952
0,0,8,1,0.10363597528269045,0.10363597528269045
0,0,8,2,0.17583497630477207,0.17583497630477207
0,0,8,3,0.0974959593940289,0.0974959593940289
0,0,8,4,0.222433287950436,0.222433287950436
0,0,8,5,0.3057871603631531,0.3057871603631531
0,0,9,0,0.24650706813432047,0.24650706813432047
0,0,9,1,0.003358885380547717,0.003358885380547717
0,0,9,2,0.23943688849858144,0.23943688849858144
0,0,9,3,0.22587879811627476,0.22587879811627476
0,0,9,4,0.06506680376901548,0.06506680376901548
0,0,9,5,0.21975155610126015,0.21975155610126015
0,0,10,0,0.07410520368168588,0.07410520368168588
0,0,10,1,0.22997362040971242,0.22997362040971242
0,0,10,2,0.05750868397527234,0.05750868397527234
0,0,10,3,0.19340674699292315,0.19340674699292315
0,0,10,4,0.23104800355228225,0.23104800355228225
0,0,10,5,0.21395774138812398,0.21395774138812398
0,1,0,0,0.19236958015977956,0.19236958015977956
0,1,0,1,0.18124804678841155,0.18124804678841155
0,1,0,2,0.15446534288247485,0.15446534288247485
0,1,0,3,0.24163574321854228,0.24163574321854228
0,1,0,4,0.08422519056296557,0.08422519056296557
0,1,0,5,0.14605609638782618,0.14605609638782618
0,1,1,0,0.3493320890106246,0.3493320890106246
0,1,1,1,0.22038890605066935,0.22038890605066935
0,1,1,2,0.2630937467061777,0.2630937467061777
0,1,1,3,0.11597690194391036,0.11597690194391036
0,1,1,4,0.0016913145905897216,0.0016913145905897216
0,1,1,5,0.049517041698028307,0.049517041698028307
0,1,2,0,0.025683940003920498,0.025683940003920498
0,1,2,1,0.10418598461338817,0.10418598461338817
0,1,2,2,0.18391375291303366,0.18391375291303366
0,1,2,3,0.30215657539729723,0.30215657539729723
0,1,2,4,0.06769046971977274,0.06769046971977274
0,1,2,5,0.31636927735258774,0.31636927735258774
0,1,3,0,0.05852879430716197,0.05852879430716197
0,1,3,1,0.21929586187865543,0.21929586187865543
0,1,3,2,0.18087405503689577,0.18087405503689577
0,1,3,3,0.22878130730285534,0.22878130730285534
0,1,3,4,0.15855712136241826,0.15855712136241826
0,1,3,5,0.15396286011201327,0.15396286011201327
0,1,4,0,0.155596701661624,0.155596701661624
0,1,4,1,0.22938276816369785,0.22938276816369785
0,1,4,2,0.19224453936440322,0.19224453936440322
0,1,4,3,0.13417141764981375,0.13417141764981375
0,1,4,4,0.18036532710092837,0.18036532710092837
0,1,4,5,0.10823924605953271,0.10823924605953271
0,1,5,0,0.3142216705893081,0.3142216705893081
0,1,5,1,0.006935971699964166,0.006935971699964166
0,1,5,2,0.16878063035521526,0.16878063035521526
0,1,5,3,0.11788739334068175,0.11788739334068175
0,1,5,4,0.17984738673635067,0.17984738673635067
0,1,5,5,0.21232694727847992,0.21232694727847992
0,1,6,0,0.052675702391442356,0.052675702391442356
0,1,6,1,0.266357422496638,0.266357422496638
0,1,6,2,0.18874183184535098,0.18874183184535098
0,1,6,3,0.2936316975535908,0.2936316975535908
0,1,6,4,0.04874093533399637,0.04874093533399637
0,1,6,5,0.14985241037898148,0.14985241037898148
0,1,7,0,0.09346523349754877,0.09346523349754877
0,1,7,1,0.01893740683845096,0.01893740683845096
0,1,7,2,0.10399277647041368,0.10399277647041368
0,1,7,3,0.31983095569921716,0.31983095569921716
0,1,7,4,0.4063455583369624,0.4063455583369624
0,1,7,5,0.057428069157406905,0.057428069157406905
0,1,8,0,0.002674716527998427,0.002674716527998427
0,1,8,1,0.22489213869646124,0.22489213869646124
0,1,8,2,0.19094617416638,0.19094617416638
0,1,8,3,0.20053034662951133,0.20053034662951133
0,1,8,4,0.12513260454321115,0.12513260454321115
0,1,8,5,0.2558240194364378,0.2558240194364378
0,1,9,0,0.16263016958983587,0.16263016958983587
0,1,9,1,0.1735744722297284,0.1735744722297284
0,1,9,2,0.12919926056130496,0.12919926056130496
0,1,9,3,0.21342415119198163,0.21342415119198163
0,1,9,4,0.20221222559044794,0.20221222559044794
0,1,9,5,0.11895972083670134,0.11895972083670134
0,1,10,0,0.047709419327053526,0.047709419327053526
0,1,10,1,0.34245623847559936,0.34245623847559936
0,1,10,2,0.04817510156641442,0.04817510156641442
0,1,10,3,0.20109179177139397,0.20109179177139397
0,1,10,4,0.3312467396771502,0.3312467396771502
0,1,10,5,0.029320709182388494,0.029320709182388494
0,2,0,0,0.2365896947052682,0.2365896947052682
0,2,0,1,0.10429912626976488,0.10429912626976488
0,2,0,2,0.22605402340293312,0.22605402340293312
0,2,0,3,0.1917869352595488,0.1917869352595488
0,2,0,4,0.1231663010817229,0.1231663010817229
0,2,0,5,0.11810391928076207,0.11810391928076207
0,2,1,0,0.03546673299619441,0.03546673299619441
0,2,1,1,0.20812059368567767,0.20812059368567767
0,2,1,2,0.11373130638364223,0.11373130638364223
0,2,1,3,0.1893785249109494,0.1893785249109494
0,2,1,4,0.14870837564271822,0.14870837564271822
0,2,1,5,0.30459446638081805,0.30459446638081805
0,2,2,0,0.20665591367640784,0.20665591367640784
0,2,2,1,0.06798256238176068,0.06798256238176068
0,2,2,2,0.012161576022140125,0.012161576022140125
0,2,2,3,0.34126818184653934,0.34126818184653934
0,2,2,4,0.06871245402329475,0.06871245402329475
0,2,2,5,0.30321931204985725,0.30321931204985725
0,2,3,0,0.2261154930216631,0.2261154930216631
0,2,3,1,0.22437010366387247,0.22437010366387247
0,2,3,2,0.1471654030973882,0.1471654030973882
0,2,3,3,0.1611926865140349,0.1611926865140349
0,2,3,4,0.021941829861743093,0.021941829861743093
0,2,3,5,0.21921448384129813,0.21921448384129813
0,2,4,0,0.024834137517858852,0.024834137517858852
0,2,4,1,0.39844225346563483,0.39844225346563483
0,2,4,2,0.32506892596389664,0.32506892596389664
0,2,4,3,0.04587522097837541,0.04587522097837541
0,2,4,4,0.09108254365473444,0.09108254365473444
0,2,4,5,0.11469691841949987,0.11469691841949987
0,2,5,0,0.2558632566054857,0.2558632566054857
0,2,5,1,0.051546755837036204,0.051546755837036204
0,2,5,2,0.21964354590413226,0.21964354590413226
0,2,5,3,0.09740893099905686,0.09740893099905686
0,2,5,4,0.13426209167256864,0.13426209167256864
0,2,5,5,0.2412754189817202,0.2412754189817202
0,2,6,0,0.20242569320907133,0.20242569320907133
0,2,6,1,0.21834324038426722,0.21834324038426722
0,2,6,2,0.11945197949247562,0.11945197949247562
0,2,6,3,0.014049746370547081,0.014049746370547081
0,2,6,4,0.3712605319364867,0.3712605319364867
0,2,6,5,0.07446880860715212,0.07446880860715212
0,2,7,0,0.019891104470241228,0.019891104470241228
0,2,7,1,0.3440532677779172,0.3440532677779172
0,2,7,2,0.15736012638407193,0.15736012638407193
0,2,7,3,0.075286689850383,0.075286689850383
0,2,7,4,0.1450182966802506,0.1450182966802506
0,2,7,5,0.25839051483713593,0.25839051483713593
0,2,8,0,0.37141467651089594,0.37141467651089594
0,2,8,1,0.08269117503383874,0.08269117503383874
0,2,8,2,0.18253041631407932,0.18253041631407932
0,2,8,3,0.07951608064203822,0.07951608064203822
0,2,8,4,0.09787155404804337,0.09787155404804337
0,2,8,5,0.1859760974511045,0.1859760974511045
0,2,9,0,0.18142663557790675,0.18142663557790675
0,2,9,1,0.17102920636673827,0.17102920636673827
0,2,9,2,0.18493652633413704,0.18493652633413704
0,2,9,3,0.1910873710209671,0.1910873710209671
0,2,9,4,0.17993443261460704,0.17993443261460704
0,2,9,5,0.09158582808564372,0.09158582808564372
0,2,10,0,0.0012415131322836479,0.0012415131322836479
0,2,10,1,0.08099262522392758,0.08099262522392758
0,2,10,2,0.01412774159328614,0.01412774159328614
0,2,10,3,0.4219176437470814,0.4219176437470814
0,2,10,4,0.1750590316663842,0.1750590316663842
0,2,10,5,0.3066614446370371,0.3066614446370371
0,3,0,0,0.2069740152211641,0.2069740152211641
0,3,0,1,0.3177835166697935,0.3177835166697935
0,3,0,2,0.1295250373800886,0.1295250373800886
0,3,0,3,0.20709476267693308,0.20709476267693308
0,3,0,4,0.048594446414725524,0.048594446414725524
0,3,0,5,0.09002822163729515,0.09002822163729515
0,3,1,0,0.26070760562145656,0.26070760562145656
0,3,1,1,0.09887307280567524,0.09887307280567524
0,3,1,2,0.18306838330198283,0.18306838330198283
0,3,1,3,0.15355479782691292,0.15355479782691292
0,3,1,4,0.10141387308307749,0.10141387308307749
0,3,1,5,0.20238226736089482,0.20238226736089482
0,3,2,0,0.3547094442888491,0.3547094442888491
0,3,2,1,0.10998466970549506,0.10998466970549506
0,3,2,2,0.05191702274401368,0.05191702274401368
0,3,2,3,0.0849086422853034,0.0849086422853034
0,3,2,4,0.14491081562679858,0.14491081562679858
0,3,2,5,0.2535694053495402,0.2535694053495402
0,3,3,0,0.18461957173553992,0.18461957173553992
0,3,3,1,0.2010974675823126,0.2010974675823126
0,3,3,2,0.04648105047683622,0.04648105047683622
0,3,3,3,0.24816975219547502,0.24816975219547502
0,3,3,4,0.13191761748023165,0.13191761748023165
0,3,3,5,0.18771454052960462,0.18771454052960462
0,3,4,0,0.2596328788570348,0.2596328788570348
0,3,4,1,0.13619752956683145,0.13619752956683145
0,3,4,2,0.24092023132986642,0.24092023132986642
0,3,4,3,0.12336406651861098,0.12336406651861098
0,3,4,4,0.018325417785818324,0.018325417785818324
0,3,4,5,0.22155987594183785,0.22155987594183785
0,3,5,0,0.2552846300099072,0.2552846300099072
0,3,5,1,0.042814230102909884,0.042814230102909884
0,3,5,2,0.22106101326854494,0.22106101326854494
0,3,5,3,0.07054251939187724,0.07054251939187724
0,3,5,4,0.29217890859662016,0.29217890859662016
0,3,5,5,0.11811869863014056,0.11811869863014056
0,3,6,0,0.18137004740808851,0.18137004740808851
0,3,6,1,0.22406727036840815,0.22406727036840815
0,3,6,2,0.045743442314931645,0.045743442314931645
0,3,6,3,0.29916107999258623,0.29916107999258623
0,3,6,4,0.09013933192549707,0.09013933192549707
0,3,6,5,0.15951882799048853,0.15951882799048853
0,3,7,0,0.02664167077706654,0.02664167077706654
0,3,7,1,0.16249731363477574,0.16249731363477574
0,3,7,2,0.13053421627906536,0.13053421627906536
0,3,7,3,0.09056201571056058,0.09056201571056058
0,3,7,4,0.31618391930999457,0.31618391930999457
0,3,7,5,0.27358086428853723,0.27358086428853723
0,3,8,0,0.05891654893799917,0.05891654893799917
0,3,8,1,0.23692582809071597,0.23692582809071597
0,3,8,2,0.1133772481176165,0.1133772481176165
0,3,8,3,0.13213252819108665,0.13213252819108665
0,3,8,4,0.24211083140837633,0.24211083140837633
0,3,8,5,0.21653701525420543,0.21653701525420543
0,3,9,0,0.250636436228128,0.250636436228128
0,3,9,1,0.137275603523692,0.137275603523692
0,3,9,2,0.05933489114873216,0.05933489114873216
0,3,9,3,0.23870286011004382,0.23870286011004382
0,3,9,4,0.06552040761184152,0.06552040761184152
0,3,9,5,0.2485298013775624,0.2485298013775624
0,3,10,0,0.2646318695087746,0.2646318695087746
0,3,10,1,0.07215648239910519,0.07215648239910519
0,3,10,2,0.005649248430457852,0.005649248430457852
0,3,10,3,0.13745341451777965,0.13745341451777965
0,3,10,4,0.2585454503816102,0.2585454503816102
0,3,10,5,0.26156353476227245,0.26156353476227245
0,4,0,0,0.08522013058306194,0.08522013058306194
0,4,0,1,0.19040461827735683,0.19040461827735683
0,4,0,2,0.1396710560106412,0.1396710560106412
0,4,0,3,0.22493096757466016,0.22493096757466016
0,4,0,4,0.19085504296774353,0.19085504296774353
0,4,0,5,0.16891818458653646,0.16891818458653646
0,4,1,0,0.2387242685325862,0.2387242685325862
0,4,1,1,0.06157524048050852,0.06157524048050852
0,4,1,2,0.09954128130201777,0.09954128130201777
0,4,1,3,0.24171656796634672,0.24171656796634672
0,4,1,4,0.20204353963508123,0.20204353963508123
0,4,1,5,0.15639910208345953,0.15639910208345953
0,4,2,0,0.2373001531040232,0.2373001531040232
0,4,2,1,0.26559849259973256,0.26559849259973256
0,4,2,2,0.17332655357257562,0.17332655357257562
0,4,2,3,0.1729287651790551,0.1729287651790551
0,4,2,4,0.026929745953051705,0.026929745953051705
0,4,2,5,0.1239162895915618,0.1239162895915618
0,4,3,0,0.06800433134026519,0.06800433134026519
0,4,3,1,0.22116780951310583,0.22116780951310583
0,4,3,2,0.1809407345058949,0.1809407345058949
0,4,3,3,0.09270530855554339,0.09270530855554339
0,4,3,4,0.2402124626547874,0.2402124626547874
0,4,3,5,0.19696935343040317,0.19696935343040317
0,4,4,0,0.2137926381043675,0.2137926381043675
0,4,4,1,0.08633294225411917,0.08633294225411917
0,4,4,2,0.2966281528474119,0.2966281528474119
0,4,4,3,0.03354312474815729,0.03354312474815729
0,4,4,4,0.24393778381318326,0.24393778381318326
0,4,4,5,0.125765358232761,0.125765358232761
0,4,5,0,0.2028388943553964,0.2028388943553964
0,4,5,1,0.22944252686838643,0.22944252686838643
0,4,5,2,0.13209846432955433,0.13209846432955433
0,4,5,3,0.22304751703744044,0.22304751703744044
0,4,5,4,0.12754176998862174,0.12754176998862174
0,4,5,5,0.08503082742060071,0.08503082742060071
0,4,6,0,0.29945226964654903,0.29945226964654903
0,4,6,1,0.218216679014932,0.218216679014932
0,4,6,2,0.13560779811473941,0.13560779811473941
0,4,6,3,0.1564386640550233,0.1564386640550233
0,4,6,4,0.06098313326354031,0.06098313326354031
0,4,6,5,0.12930145590521594,0.12930145590521594
0,4,7,0,0.18153007062775206,0.18153007062775206
0,4,7,1,0.19308298147592995,0.19308298147592995
0,4,7,2,0.1644539353021806,0.1644539353021806
0,4,7,3,0.12676860616898583,0.12676860616898583
0,4,7,4,0.21845172408904964,0.21845172408904964
0,4,7,5,0.11571268233610188,0.11571268233610188
0,4,8,0,0.04981764179758541,0.04981764179758541
0,4,8,1,0.10582237080130952,0.10582237080130952
0,4,8,2,0.21418683569080596,0.21418683569080596
0,4,8,3,0.1520736570957877,0.1520736570957877
0,4,8,4,0.23496524268155924,0.23496524268155924
0,4,8,5,0.24313425193295224,0.24313425193295224
0,4,9,0,0.32911943772524604,0.32911943772524604
0,4,9,1,0.08671136935691465,0.08671136935691465
0,4,9,2,0.050814777918694355,0.050814777918694355
0,4,9,3,0.2548619589584991,0.2548619589584991
0,4,9,4,0.1688738008576812,0.1688738008576812
0,4,9,5,0.10961865518296454,0.10961865518296454
0,4,10,0,0.10551540122499321,0.10551540122499321
0,4,10,1,0.2883169094267923,0.2883169094267923
0,4,10,2,0.25418542687143214,0.25418542687143214
0,4,10,3,0.14182225630736733,0.14182225630736733
0,4,10,4,0.1407310451676137,0.1407310451676137
0,4,10,5,0.06942896100180124,0.06942896100180124
1,0,0,0,0.22900368862503015,0.22900368862503015
1,0,0,1,0.26546672366627166,0.26546672366627166
1,0,0,2,0.009243422495980173,0.009243422495980173
1,0,0,3,0.3244322898566248,0.3244322898566248
1,0,0,4,0.0016444586130457644,0.0016444586130457644
1,0,0,5,0.17020941674304743,0.17020941674304743
1,0,1,0,0.33142190429014917,0.33142190429014917
1,0,1,1,0.1317735838910743,0.1317735838910743
1,0,1,2,0.06804175212883957,0.06804175212883957
1,0,1,3,0.21430603464626047,0.21430603464626047
1,0,1,4,0.20247550841597295,0.20247550841597295
1,0,1,5,0.0519812166277035,0.0519812166277035
1,0,2,0,0.1640510374562144,0.1640510374562144
1,0,2,1,0.2847302376724089,0.2847302376724089
1,0,2,2,0.01417133664308365,0.01417133664308365
1,0,2,3,0.2502097024461331,0.2502097024461331
1,0,2,4,0.09612304430711731,0.09612304430711731
1,0,2,5,0.1907146414750425,0.1907146414750425
1,0,3,0,0.1546023561759891,0.1546023561759891
1,0,3,1,0.1808222319658312,0.1808222319658312
1,0,3,2,0.20525054323712566,0.20525054323712566
1,0,3,3,0.03644738448289661,0.03644738448289661
1,0,3,4,0.3008652584689541,0.3008652584689541
1,0,3,5,0.12201222566920329,0.12201222566920329
1,0,4,0,0.09212522017039206,0.09212522017039206
