equilibrium,n_i,n_j,FC,player,action,probability
0,0,0,1,1,0,0.5
0,0,0,1,2,0,0.5
0,0,0,1,1,1,0.5
0,0,0,1,2,1,0.5
0,0,0,2,1,0,0.7310585786300048
0,0,0,2,2,0,0.7310585786300048
0,0,0,2,1,1,0.2689414213699952
0,0,0,2,2,1,0.2689414213699952
0,0,0,3,1,0,0.8807970779778823
0,0,0,3,2,0,0.8807970779778823
0,0,0,3,1,1,0.11920292202211755
0,0,0,3,2,1,0.11920292202211755
0,0,0,4,1,0,0.9525741268224334
0,0,0,4,2,0,0.9525741268224334
0,0,0,4,1,1,0.04742587317756679
0,0,0,4,2,1,0.04742587317756679
0,0,0,5,1,0,0.9820137900379085
0,0,0,5,2,0,0.9820137900379085
0,0,0,5,1,1,0.017986209962091566
0,0,0,5,2,1,0.017986209962091566
0,0,0,6,1,0,0.9933071490757153
0,0,0,6,2,0,0.9933071490757153
0,0,0,6,1,1,0.006692850924284856
0,0,0,6,2,1,0.006692850924284856
0,0,0,7,1,0,0.9975273768433653
0,0,0,7,2,0,0.9975273768433653
0,0,0,7,1,1,0.0024726231566347748
0,0,0,7,2,1,0.0024726231566347748
0,0,0,8,1,0,0.9990889488055994
0,0,0,8,2,0,0.9990889488055994
0,0,0,8,1,1,0.0009110511944006454
0,0,0,8,2,1,0.0009110511944006454
0,0,0,9,1,0,0.9996646498695336
0,0,0,9,2,0,0.9996646498695336
0,0,0,9,1,1,0.00033535013046647816
0,0,0,9,2,1,0.00033535013046647816
0,0,0,10,1,0,0.9998766054240137
0,0,0,10,2,0,0.9998766054240137
0,0,0,10,1,1,0.00012339457598623172
0,0,0,10,2,1,0.00012339457598623172
0,0,1,1,1,0,0.5
0,0,1,1,2,0,0.5
0,0,1,1,1,1,0.5
0,0,1,1,2,1,0.5
0,0,1,2,1,0,0.7310585786300048
0,0,1,2,2,0,0.7310585786300048
0,0,1,2,1,1,0.2689414213699952
0,0,1,2,2,1,0.2689414213699952
0,0,1,3,1,0,0.8807970779778823
0,0,1,3,2,0,0.8807970779778823
0,0,1,3,1,1,0.11920292202211757
0,0,1,3,2,1,0.11920292202211757
0,0,1,4,1,0,0.9525741268224334
0,0,1,4,2,0,0.9525741268224334
0,0,1,4,1,1,0.04742587317756679
0,0,1,4,2,1,0.04742587317756679
0,0,1,5,1,0,0.9820137900379085
0,0,1,5,2,0,0.9820137900379085
0,0,1,5,1,1,0.017986209962091555
0,0,1,5,2,1,0.017986209962091555
0,0,1,6,1,0,0.9933071490757153
0,0,1,6,2,0,0.9933071490757153
0,0,1,6,1,1,0.006692850924284856
0,0,1,6,2,1,0.006692850924284856
0,0,1,7,1,0,0.9975273768433653
0,0,1,7,2,0,0.9975273768433653
0,0,1,7,1,1,0.0024726231566347748
0,0,1,7,2,1,0.0024726231566347748
0,0,1,8,1,0,0.9990889488055994
0,0,1,8,2,0,0.9990889488055994
0,0,1,8,1,1,0.0009110511944006454
0,0,1,8,2,1,0.0009110511944006454
0,0,1,9,1,0,0.9996646498695336
0,0,1,9,2,0,0.9996646498695336
0,0,1,9,1,1,0.00033535013046647816
0,0,1,9,2,1,0.00033535013046647816
0,0,1,10,1,0,0.9998766054240137
0,0,1,10,2,0,0.9998766054240137
0,0,1,10,1,1,0.00012339457598623172
0,0,1,10,2,1,0.00012339457598623172
0,1,0,1,1,0,0.5
0,1,0,1,2,0,0.5
0,1,0,1,1,1,0.5
0,1,0,1,2,1,0.5
0,1,0,2,1,0,0.7310585786300049
0,1,0,2,2,0,0.7310585786300049
0,1,0,2,1,1,0.2689414213699951
0,1,0,2,2,1,0.2689414213699951
0,1,0,3,1,0,0.8807970779778823
0,1,0,3,2,0,0.8807970779778823
0,1,0,3,1,1,0.11920292202211755
0,1,0,3,2,1,0.11920292202211755
0,1,0,4,1,0,0.9525741268224331
0,1,0,4,2,0,0.9525741268224331
0,1,0,4,1,1,0.047425873177566795
0,1,0,4,2,1,0.047425873177566795
0,1,0,5,1,0,0.9820137900379085
0,1,0,5,2,0,0.9820137900379085
0,1,0,5,1,1,0.017986209962091566
0,1,0,5,2,1,0.017986209962091566
0,1,0,6,1,0,0.9933071490757153
0,1,0,6,2,0,0.9933071490757153
0,1,0,6,1,1,0.006692850924284856
0,1,0,6,2,1,0.006692850924284856
0,1,0,7,1,0,0.9975273768433653
0,1,0,7,2,0,0.9975273768433653
0,1,0,7,1,1,0.0024726231566347748
0,1,0,7,2,1,0.0024726231566347748
0,1,0,8,1,0,0.9990889488055994
0,1,0,8,2,0,0.9990889488055994
0,1,0,8,1,1,0.0009110511944006454
0,1,0,8,2,1,0.0009110511944006454
0,1,0,9,1,0,0.9996646498695336
0,1,0,9,2,0,0.9996646498695336
0,1,0,9,1,1,0.00033535013046647816
0,1,0,9,2,1,0.00033535013046647816
0,1,0,10,1,0,0.9998766054240137
0,1,0,10,2,0,0.9998766054240137
0,1,0,10,1,1,0.00012339457598623172
0,1,0,10,2,1,0.00012339457598623172
0,1,1,1,1,0,0.5
0,1,1,1,2,0,0.5
0,1,1,1,1,1,0.5
0,1,1,1,2,1,0.5
0,1,1,2,1,0,0.7310585786300049
0,1,1,2,2,0,0.7310585786300049
0,1,1,2,1,1,0.2689414213699951
0,1,1,2,2,1,0.2689414213699951
0,1,1,3,1,0,0.8807970779778823
0,1,1,3,2,0,0.8807970779778823
0,1,1,3,1,1,0.11920292202211755
0,1,1,3,2,1,0.11920292202211755
0,1,1,4,1,0,0.9525741268224334
0,1,1,4,2,0,0.9525741268224334
0,1,1,4,1,1,0.04742587317756679
0,1,1,4,2,1,0.04742587317756679
0,1,1,5,1,0,0.9820137900379085
0,1,1,5,2,0,0.9820137900379085
0,1,1,5,1,1,0.017986209962091555
0,1,1,5,2,1,0.017986209962091555
0,1,1,6,1,0,0.9933071490757153
0,1,1,6,2,0,0.9933071490757153
0,1,1,6,1,1,0.006692850924284856
0,1,1,6,2,1,0.006692850924284856
0,1,1,7,1,0,0.9975273768433653
0,1,1,7,2,0,0.9975273768433653
0,1,1,7,1,1,0.0024726231566347748
0,1,1,7,2,1,0.0024726231566347748
0,1,1,8,1,0,0.9990889488055994
0,1,1,8,2,0,0.9990889488055994
0,1,1,8,1,1,0.0009110511944006454
0,1,1,8,2,1,0.0009110511944006454
0,1,1,9,1,0,0.9996646498695336
0,1,1,9,2,0,0.9996646498695336
0,1,1,9,1,1,0.00033535013046647816
0,1,1,9,2,1,0.00033535013046647816
0,1,1,10,1,0,0.9998766054240137
0,1,1,10,2,0,0.9998766054240137
0,1,1,10,1,1,0.00012339457598623172
0,1,1,10,2,1,0.00012339457598623172
