equilibrium,n_i,n_j,FC,player,action,probability
0,0,0,1,1,0,0.5
0,0,0,1,2,0,0.5
0,0,0,1,1,1,0.5
0,0,0,1,2,1,0.5
0,0,0,2,1,0,0.7310585786300051
0,0,0,2,2,0,0.7310585786300051
0,0,0,2,1,1,0.268941421369995
0,0,0,2,2,1,0.268941421369995
0,0,1,1,1,0,0.5
0,0,1,1,2,0,0.5
0,0,1,1,1,1,0.5
0,0,1,1,2,1,0.5
0,0,1,2,1,0,0.7310585786300051
0,0,1,2,2,0,0.7310585786300051
0,0,1,2,1,1,0.268941421369995
0,0,1,2,2,1,0.268941421369995
0,1,0,1,1,0,0.5
0,1,0,1,2,0,0.5
0,1,0,1,1,1,0.5
0,1,0,1,2,1,0.5
0,1,0,2,1,0,0.7310585786300049
0,1,0,2,2,0,0.7310585786300049
0,1,0,2,1,1,0.2689414213699951
0,1,0,2,2,1,0.2689414213699951
0,1,1,1,1,0,0.5
0,1,1,1,2,0,0.5
0,1,1,1,1,1,0.5
0,1,1,1,2,1,0.5
0,1,1,2,1,0,0.7310585786300049
0,1,1,2,2,0,0.7310585786300049
0,1,1,2,1,1,0.2689414213699951
0,1,1,2,2,1,0.2689414213699951
