n_i,n_j,FC,p_i_entry,p_j_entry
0,0,0,0.5,0.5
0,0,1,0.2689414213699951,0.2689414213699951
0,0,2,0.11920292202211755,0.11920292202211755
0,0,3,0.04742587317756679,0.04742587317756679
0,0,4,0.017986209962091555,0.017986209962091555
0,0,5,0.006692850924284856,0.006692850924284856
0,0,6,0.0024726231566347748,0.0024726231566347748
0,0,7,0.0009110511944006454,0.0009110511944006454
0,0,8,0.00033535013046647816,0.00033535013046647816
0,0,9,0.00012339457598623172,0.00012339457598623172
0,0,10,4.5397868702434395e-05,4.5397868702434395e-05
0,1,0,0.5,0.5
0,1,1,0.2689414213699951,0.2689414213699951
0,1,2,0.11920292202211755,0.11920292202211755
0,1,3,0.04742587317756679,0.04742587317756679
0,1,4,0.017986209962091555,0.017986209962091555
0,1,5,0.006692850924284856,0.006692850924284856
0,1,6,0.0024726231566347748,0.0024726231566347748
0,1,7,0.0009110511944006454,0.0009110511944006454
0,1,8,0.00033535013046647816,0.00033535013046647816
0,1,9,0.00012339457598623172,0.00012339457598623172
0,1,10,4.5397868702434395e-05,4.5397868702434395e-05
0,2,0,0.5,0.5
0,2,1,0.2689414213699951,0.2689414213699951
0,2,2,0.11920292202211755,0.11920292202211755
0,2,3,0.04742587317756679,0.04742587317756679
0,2,4,0.017986209962091555,0.017986209962091555
0,2,5,0.006692850924284856,0.006692850924284856
0,2,6,0.0024726231566347748,0.0024726231566347748
0,2,7,0.0009110511944006454,0.0009110511944006454
0,2,8,0.00033535013046647816,0.00033535013046647816
0,2,9,0.00012339457598623172,0.00012339457598623172
0,2,10,4.5397868702434395e-05,4.5397868702434395e-05
0,3,0,0.5,0.5
0,3,1,0.2689414213699951,0.2689414213699951
0,3,2,0.11920292202211755,0.11920292202211755
0,3,3,0.04742587317756679,0.04742587317756679
0,3,4,0.017986209962091555,0.017986209962091555
0,3,5,0.006692850924284856,0.006692850924284856
0,3,6,0.0024726231566347748,0.0024726231566347748
0,3,7,0.0009110511944006454,0.0009110511944006454
0,3,8,0.00033535013046647816,0.00033535013046647816
0,3,9,0.00012339457598623172,0.00012339457598623172
0,3,10,4.5397868702434395e-05,4.5397868702434395e-05
0,4,0,0.5,0.5
0,4,1,0.2689414213699951,0.2689414213699951
0,4,2,0.11920292202211755,0.11920292202211755
0,4,3,0.04742587317756679,0.04742587317756679
0,4,4,0.017986209962091555,0.017986209962091555
0,4,5,0.006692850924284856,0.006692850924284856
0,4,6,0.0024726231566347748,0.0024726231566347748
0,4,7,0.0009110511944006454,0.0009110511944006454
0,4,8,0.00033535013046647816,0.00033535013046647816
0,4,9,0.00012339457598623172,0.00012339457598623172
0,4,10,4.5397868702434395e-05,4.5397868702434395e-05
1,0,0,0.5,0.5
1,0,1,0.2689414213699951,0.2689414213699951
1,0,2,0.11920292202211755,0.11920292202211755
1,0,3,0.04742587317756679,0.04742587317756679
1,0,4,0.017986209962091555,0.017986209962091555
1,0,5,0.006692850924284856,0.006692850924284856
1,0,6,0.0024726231566347748,0.0024726231566347748
1,0,7,0.0009110511944006454,0.0009110511944006454
1,0,8,0.00033535013046647816,0.00033535013046647816
1,0,9,0.00012339457598623172,0.00012339457598623172
1,0,10,4.5397868702434395e-05,4.5397868702434395e-05
1,1,0,0.5,0.5
1,1,1,0.2689414213699951,0.2689414213699951
1,1,2,0.11920292202211755,0.11920292202211755
1,1,3,0.04742587317756679,0.04742587317756679
1,1,4,0.017986209962091555,0.017986209962091555
1,1,5,0.006692850924284856,0.006692850924284856
1,1,6,0.0024726231566347748,0.0024726231566347748
1,1,7,0.0009110511944006454,0.0009110511944006454
1,1,8,0.00033535013046647816,0.00033535013046647816
1,1,9,0.00012339457598623172,0.00012339457598623172
1,1,10,4.5397868702434395e-05,4.5397868702434395e-05
1,2,0,0.5,0.5
1,2,1,0.2689414213699951,0.2689414213699951
1,2,2,0.11920292202211755,0.11920292202211755
1,2,3,0.04742587317756679,0.04742587317756679
1,2,4,0.017986209962091555,0.017986209962091555
1,2,5,0.006692850924284856,0.006692850924284856
1,2,6,0.0024726231566347748,0.0024726231566347748
1,2,7,0.0009110511944006454,0.0009110511944006454
1,2,8,0.00033535013046647816,0.00033535013046647816
1,2,9,0.00012339457598623172,0.00012339457598623172
1,2,10,4.5397868702434395e-05,4.5397868702434395e-05
1,3,0,0.5,0.5
1,3,1,0.2689414213699951,0.2689414213699951
1,3,2,0.11920292202211755,0.11920292202211755
1,3,3,0.04742587317756679,0.04742587317756679
1,3,4,0.017986209962091555,0.017986209962091555
1,3,5,0.006692850924284856,0.006692850924284856
1,3,6,0.0024726231566347748,0.0024726231566347748
1,3,7,0.0009110511944006454,0.0009110511944006454
1,3,8,0.00033535013046647816,0.00033535013046647816
1,3,9,0.00012339457598623172,0.00012339457598623172
1,3,10,4.5397868702434395e-05,4.5397868702434395e-05
2,0,0,0.5,0.5
2,0,1,0.2689414213699951,0.2689414213699951
2,0,2,0.11920292202211755,0.11920292202211755
2,0,3,0.04742587317756679,0.04742587317756679
2,0,4,0.017986209962091555,0.017986209962091555
